Playist Name,Placement email,Social Media,Notes,Approved Song,Payment,Cost,Duration (Days),Listeners During Duration,Streams During Duration
PS1 Vibes [Drum & Bass/House],,@zachperard,Submit what you on as well,,,,,,
Lounge Music 2023 - Soft House - Ibiza Lounge,submissions@stormmusicgroup.com,,,,,,,,
Castle Collective,,,https://www.castlecollective.net/contact,,,,,,
Hot Amazing Network,,,https://hotapr.com/spotify.php Playlist submission $10,,,,,,
Beach Music 2023 Summer Vibes,,,https://www.submithub.com/blog/soave,,,,,,
Ibiza Summer Mix 2023 Best Of Tropical Deep Hous Music Chill Out Mix,wavemusicllc@gmail.com,,,,,,,,
Car Music 2023 Bass Boosted EDM Remix of Popular Songs,demo@magicmusic.io,,,,,,,,
high vibes,,@private_dgc,,,,,,,
Seal Network,spotify@seal-network.com,,,,,,,,
Summer Roadtrip Music 2010-2023,,@krisros.here,,,,,,,
Beach Lounge 2023 IBIZA Summer Chillout,dosch@freenet.de,,,,,,,,
Different Twins Records,,,https://www.toneden.io/differenttwins/post/playlistsubmission,,,,,,
Vib'in records,,,https://www.toneden.io/vibin-records/post/join-our-spotify-playlists-for-free,,,,,,
GYM RATS,,@cristian.heg,,,,,,,
