Playist Name,Placement email,Social Media,Notes,Approved Song,Payment,Cost,Duration (Days),Listeners During Duration,Streams During Duration
blue lock (dotarap + phonk + hyperpop),,@MadAboutThat,,,,,,,
jungle / breakcore / dnb,,@cpeto59 (twitter),,,,,,,
LIQUID DNB,,@owengriff_,,,,,,,
Liquid Drum & Bass | Chill DnB | Melodic Drum n Bass 2023,,@peterlixmusic,,,,,,,
chill breakcore,,@chillbreakcore,,,,,,,
SIGMA GYM MOTIVATION,mufasa.spotifyplaylist@gmail.com,,,,,,,,
BREAKCORE ABYSS,,@breakcore.abyss,,,,,,,
The Lost Soul Down/vibes,,@starxedy,,,,,,,
Breakcore | PS2 Racing Vibes,,@mayowithadot,,,,,,,
Just Dance BBM,,@Lucagotbbm,,,,,,,
Atmospheric Breakcore / DnB,,@gionikva discord,,,,,,,
Etheral Breakcore Jungle/DnB,,@joe.parky,,,,,,,
ethereal://rave,,@purity_filter,,,,,,,
keygencore,,@ysfwtbob or @edwinaxelitoo,,,,,,,
Breakcore // Jungle // Brekabeat,,@psychoarcadia,,,,,,,
Breakcore Heaven,,@breakcoreheaven,,,,,,,
Breakcore / DnB,,@memesbreakcore,,,,,,,
CHILL JUNGLE/ATMOSPHERIC DNB,,@Zelyr#0001 discord,,,,,,,
404 Error,,@vlad.qll,,,,,,,
Breakcore/DnB,,@memesbreakcore,,,,,,,
Me Gusta Lo Raro,,@flama.amour or @___dibuu,,,,,,,
breakcore dump (to chill and study to?),,@slamflash_,,,,,,,
PS1 Vibes [Drum & Bass/House],,@zachperard,Submit what you on as well,,,,,,
Breakcore and such,,@Jvnepill,,,,,,,
Geek'd Up,,@woopieluncheon,,,,,,,
Internet Archives,,@blackhearts_k3,,,,,,,
